Totes,category_id
Kitchen Sink Tote,1
Maxed Out Wanderlust Tote,1
Wanderlust XL Tote,1
Kitchen Sink Tennis Tote,1
24+7 Large Laptop Backpack,2
24+7 Small Tablet Backpack,2
24+7 In A Cinch Backpack,2
24+7 Tennis Backpack,2
Big Boss Ski/Snow Boot Backpack,2
24+7 Ski/Snow Boot Backpack,2
Picnic Backpack,2
24+7 Weekender Duffle,3
Kitchen Sink Duffle,3
Maxed Out Mini Duffle,3
Bestie Baguette Crossbody,4
Maxed Out Crossbody Large,4
Kitchen Sink Cellphone Crossbody,4
No Chaos Crossbody Large,4
C - Suite Not Yo Granny's Fanny Pack,4
24 + 7 Not Yo Granny's Fanny Pack,4
24+7 Triple Threat Crossbody,4
Maxed Out Mini Duffle,4
Mini Bucket,4
Maxed Out Pouchette,4
Hydro Sling,4
24 + 7 Super Sling,4
24+7 Triple Threat Crossbody,5
Bestie Baguette Crossbody,5
Maxed Out Pouchette,5
No Chaos Crossbody Large,5
C - Suite Not Yo Granny's Fanny Pack,6
24 + 7 Not Yo Granny's Fanny Pack,6
24+7 Triple Threat Crossbody,6
Hanging Travel Organizer,7
KST Cosmetic Case Medium,7
KST Cosmetic Case Large,7
KST Trainwreck Case,7
24 + 7 Double Vision,8
KST Family Jewels,8
24+7 Tennis Backpack,9
Kitchen Sink Tennis Tote,9
Maxed Out Tennis Sling,9
24 + 7 In a Cinch Backpack Tennis,9
Kitchen Sink Tennis Duffle,9
Wanderlust XL Tote - Tennis,9
Maxed Out Pickleball Sling,9
24 + 7 In a Cinch Backpack - Pickle & Paddle,9
24 + 7 Large Laptop Backpack - Pickle & Paddle,9
Kitchen Sink Tote - Pickle & Paddle,9
Maxed Out Wanderlust Tote - Pickle & Paddle,9
24 + 7 Super Sling - Pickle & Paddle,9
Apres All Day,10
Aspiring Retiree,10
Big Kiss,10
Big Sister,10
Black Sparkle Lips,10
Bridesmaid,10
Diamonds Are A Girl's Best Friend,10
Dragon,10
Drop Shot It Like It's Hot,10
Elephant,10
Evil Eye,10
Francool Large,10
Francool Small,10
Girls Weekend Cheaper Than Therapy,10
Golf,10
Good Vibes Only - Black/Silver,10
Hamsa,10
Heart Lightning,10
Heart/Sword,10
"Hello, I am a Professional",10
Horseback,10
Horseshoe,10
Ice Skating,10
In My Defense I Was Left Unsupervised,10
Just Dink It,10
Just Wing It,10
Kiss My Ace,10
Leopard Lips,10
Lightning Bolt,10
Little But Fierce 2,10
Little Sister,10
Love Isn't Blind,10
Love Means Nothing,10
Love Tennis Ball - Black,10
Mogul Mama,10
Oy Vey All Day,10
Padel Is My Favorite Season,10
Peace Sign,10
Pickleball,10
Pink Butterfly,10
Pink Sparkle Lips,10
Queen of the Court,10
Queen of the Green,10
She Believed She Could So She Did,10
Skiing,10
Skull And Cross Bones,10
Snake - Purple,10
Stars,10
Stay Outta The Kitchen,10
Teachable Moment,10
Tennis Is My Favorite Season,10
The Dog Made Me Do It,10
The Dream Is Free - Black,10
The Party Has Arrived,10
Tiger,10
Title,10
Varsity Letter,10
You've Got This,10